reltime,datetime,iSensor,ibi
0.001,2024/05/28 15:34:05.2439,5,714
0.001,2024/05/28 15:34:05.2439,4,0
0.001,2024/05/28 15:34:05.2439,3,654
0.001,2024/05/28 15:34:05.2439,2,0
0.001,2024/05/28 15:34:05.2439,1,0
0.001,2024/05/28 15:34:05.2439,0,0
0.037,2024/05/28 15:34:05.2799,3,632
1.022,2024/05/28 15:34:06.2649,3,623
1.515,2024/05/28 15:34:06.7579,3,608
1.607,2024/05/28 15:34:06.8499,5,714
1.853,2024/05/28 15:34:07.0959,5,714
2.008,2024/05/28 15:34:07.2509,3,593
2.099,2024/05/28 15:34:07.3419,5,714
2.5,2024/05/28 15:34:07.7429,3,589
3.238,2024/05/28 15:34:08.4809,3,600
3.731,2024/05/28 15:34:08.9739,3,637
4.716,2024/05/28 15:34:09.9589,3,669
4.808,2024/05/28 15:34:10.0509,5,705
5.054,2024/05/28 15:34:10.2969,5,705
5.209,2024/05/28 15:34:10.4519,3,679
5.301,2024/05/28 15:34:10.5439,5,705
5.951,2024/05/28 15:34:11.1939,3,657
6.44,2024/05/28 15:34:11.6829,3,665
6.932,2024/05/28 15:34:12.1749,3,652
7.918,2024/05/28 15:34:13.1609,3,619
8.011,2024/05/28 15:34:13.2539,5,705
8.257,2024/05/28 15:34:13.4999,5,705
8.41,2024/05/28 15:34:13.6529,3,604
8.502,2024/05/28 15:34:13.7449,5,705
8.903,2024/05/28 15:34:14.1459,3,606
9.241,2024/05/28 15:34:14.4839,5,705
9.488,2024/05/28 15:34:14.7309,5,705
9.641,2024/05/28 15:34:14.8839,3,612
9.737,2024/05/28 15:34:14.9799,5,705
9.98,2024/05/28 15:34:15.2229,5,705
10.134,2024/05/28 15:34:15.3769,3,621
10.227,2024/05/28 15:34:15.4699,5,705
10.473,2024/05/28 15:34:15.7159,5,705
10.627,2024/05/28 15:34:15.8699,3,623
10.719,2024/05/28 15:34:15.9619,5,705
10.966,2024/05/28 15:34:16.2089,5,705
11.212,2024/05/28 15:34:16.4549,5,705
11.366,2024/05/28 15:34:16.6089,3,619
11.458,2024/05/28 15:34:16.7009,5,705
11.705,2024/05/28 15:34:16.9479,5,705
11.858,2024/05/28 15:34:17.1009,3,620
11.95,2024/05/28 15:34:17.1929,5,705
12.196,2024/05/28 15:34:17.4389,5,705
12.443,2024/05/28 15:34:17.6859,5,705
12.597,2024/05/28 15:34:17.8399,3,616
12.689,2024/05/28 15:34:17.9319,5,705
12.935,2024/05/28 15:34:18.1779,5,705
13.089,2024/05/28 15:34:18.3319,3,611
13.182,2024/05/28 15:34:18.4249,5,705
13.428,2024/05/28 15:34:18.6709,5,705
13.674,2024/05/28 15:34:18.9169,5,705
13.828,2024/05/28 15:34:19.0709,3,603
13.921,2024/05/28 15:34:19.1639,5,705
14.167,2024/05/28 15:34:19.4099,5,705
14.321,2024/05/28 15:34:19.5639,3,589
14.813,2024/05/28 15:34:20.0559,3,581
15.305,2024/05/28 15:34:20.5479,3,565
16.291,2024/05/28 15:34:21.5339,3,552
16.383,2024/05/28 15:34:21.6259,5,638
16.63,2024/05/28 15:34:21.8729,5,638
16.783,2024/05/28 15:34:22.0259,3,548
16.876,2024/05/28 15:34:22.1189,5,638
17.03,2024/05/28 15:34:22.2729,3,545
17.522,2024/05/28 15:34:22.7649,3,542
18.508,2024/05/28 15:34:23.7509,3,543
19.585,2024/05/28 15:34:24.8279,5,611
19.831,2024/05/28 15:34:25.0739,5,611
20.078,2024/05/28 15:34:25.3209,5,611
21.216,2024/05/28 15:34:26.4589,3,641
21.709,2024/05/28 15:34:26.9519,3,629
22.201,2024/05/28 15:34:27.4439,3,652
22.693,2024/05/28 15:34:27.9359,3,674
22.786,2024/05/28 15:34:28.0289,5,611
23.033,2024/05/28 15:34:28.2759,5,611
23.279,2024/05/28 15:34:28.5219,5,611
23.432,2024/05/28 15:34:28.6749,3,680
23.925,2024/05/28 15:34:29.1679,3,674
24.911,2024/05/28 15:34:30.1539,3,630
25.403,2024/05/28 15:34:30.6459,3,598
25.895,2024/05/28 15:34:31.1379,3,591
26.234,2024/05/28 15:34:31.4769,5,618
26.388,2024/05/28 15:34:31.6309,3,591
26.48,2024/05/28 15:34:31.7229,5,618
26.881,2024/05/28 15:34:32.1239,3,601
27.62,2024/05/28 15:34:32.8629,3,609
28.112,2024/05/28 15:34:33.3549,3,616
29.097,2024/05/28 15:34:34.3399,3,617
29.189,2024/05/28 15:34:34.4319,5,638
29.436,2024/05/28 15:34:34.6789,5,638
29.589,2024/05/28 15:34:34.8319,3,613
29.682,2024/05/28 15:34:34.9249,5,645
30.082,2024/05/28 15:34:35.3249,3,614
30.821,2024/05/28 15:34:36.0639,3,611
31.314,2024/05/28 15:34:36.5569,3,592
31.806,2024/05/28 15:34:37.0489,3,590
32.391,2024/05/28 15:34:37.6339,5,651
32.638,2024/05/28 15:34:37.8809,5,651
32.791,2024/05/28 15:34:38.0339,3,596
32.884,2024/05/28 15:34:38.1269,5,651
33.037,2024/05/28 15:34:38.2799,3,599
33.53,2024/05/28 15:34:38.7729,3,600
34.515,2024/05/28 15:34:39.7579,3,605
35.007,2024/05/28 15:34:40.2499,3,610
35.5,2024/05/28 15:34:40.7429,3,622
35.839,2024/05/28 15:34:41.0819,5,631
35.993,2024/05/28 15:34:41.2359,3,597
36.086,2024/05/28 15:34:41.3289,5,631
38.209,2024/05/28 15:34:43.4519,3,601
38.702,2024/05/28 15:34:43.9449,3,611
38.795,2024/05/28 15:34:44.0379,5,611
39.041,2024/05/28 15:34:44.2839,5,611
39.194,2024/05/28 15:34:44.4369,3,613
39.287,2024/05/28 15:34:44.5299,5,611
39.534,2024/05/28 15:34:44.7769,5,611
39.686,2024/05/28 15:34:44.9289,3,609
39.78,2024/05/28 15:34:45.0229,5,605
40.025,2024/05/28 15:34:45.2679,5,605
40.179,2024/05/28 15:34:45.4219,3,606
40.272,2024/05/28 15:34:45.5149,5,605
40.518,2024/05/28 15:34:45.7609,5,605
40.764,2024/05/28 15:34:46.0069,5,605
40.918,2024/05/28 15:34:46.1609,3,587
41.504,2024/05/28 15:34:46.7469,5,605
41.656,2024/05/28 15:34:46.8989,3,571
41.903,2024/05/28 15:34:47.1459,3,570
42.242,2024/05/28 15:34:47.4849,5,605
42.488,2024/05/28 15:34:47.7309,5,605
42.642,2024/05/28 15:34:47.8849,3,570
42.735,2024/05/28 15:34:47.9779,5,605
42.981,2024/05/28 15:34:48.2239,5,605
43.135,2024/05/28 15:34:48.3779,3,572
43.227,2024/05/28 15:34:48.4699,5,605
43.474,2024/05/28 15:34:48.7169,5,605
43.627,2024/05/28 15:34:48.8699,3,576
43.72,2024/05/28 15:34:48.9629,5,605
43.966,2024/05/28 15:34:49.2089,5,605
44.213,2024/05/28 15:34:49.4559,5,605
44.366,2024/05/28 15:34:49.6089,3,588
44.458,2024/05/28 15:34:49.7009,5,605
44.858,2024/05/28 15:34:50.1009,3,597
45.198,2024/05/28 15:34:50.4409,5,605
45.445,2024/05/28 15:34:50.6879,5,605
45.597,2024/05/28 15:34:50.8399,3,612
45.69,2024/05/28 15:34:50.9329,5,605
45.937,2024/05/28 15:34:51.1799,5,605
46.089,2024/05/28 15:34:51.3319,3,615
46.183,2024/05/28 15:34:51.4259,5,605
46.429,2024/05/28 15:34:51.6719,5,605
46.676,2024/05/28 15:34:51.9189,5,605
46.828,2024/05/28 15:34:52.0709,3,604
46.922,2024/05/28 15:34:52.1649,5,605
47.167,2024/05/28 15:34:52.4099,5,605
47.321,2024/05/28 15:34:52.5639,3,580
47.414,2024/05/28 15:34:52.6569,5,605
47.66,2024/05/28 15:34:52.9029,5,605
47.814,2024/05/28 15:34:53.0569,3,575
47.906,2024/05/28 15:34:53.1489,5,605
48.153,2024/05/28 15:34:53.3959,5,605
48.402,2024/05/28 15:34:53.6449,5,605
48.553,2024/05/28 15:34:53.7959,3,576
48.645,2024/05/28 15:34:53.8879,5,600
48.892,2024/05/28 15:34:54.1349,5,600
49.045,2024/05/28 15:34:54.2879,3,578
49.138,2024/05/28 15:34:54.3809,5,600
49.385,2024/05/28 15:34:54.6279,5,600
49.538,2024/05/28 15:34:54.7809,3,572
49.631,2024/05/28 15:34:54.8739,5,600
49.877,2024/05/28 15:34:55.1199,5,600
50.124,2024/05/28 15:34:55.3669,5,600
50.276,2024/05/28 15:34:55.5189,3,586
50.369,2024/05/28 15:34:55.6119,5,600
50.615,2024/05/28 15:34:55.8579,5,594
50.769,2024/05/28 15:34:56.0119,3,599
50.862,2024/05/28 15:34:56.1049,5,594
51.108,2024/05/28 15:34:56.3509,5,594
51.354,2024/05/28 15:34:56.5969,5,594
51.508,2024/05/28 15:34:56.7509,3,612
