reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/05/28 15:34:05.2439;5;1.00;84.0
   0.0010;2024/05/28 15:34:05.2439;4;0.00;0.0
   0.0010;2024/05/28 15:34:05.2439;3;1.00;86.0
   0.0010;2024/05/28 15:34:05.2439;2;0.00;0.0
   0.0010;2024/05/28 15:34:05.2439;1;0.00;0.0
   0.0010;2024/05/28 15:34:05.2439;0;0.00;0.0
   0.0370;2024/05/28 15:34:05.2799;3;1.00;87.0
   0.5290;2024/05/28 15:34:05.7719;3;1.00;87.0
   0.8680;2024/05/28 15:34:06.1109;5;1.00;84.0
   1.0220;2024/05/28 15:34:06.2649;3;1.00;88.0
   1.3600;2024/05/28 15:34:06.6029;5;1.00;84.0
   1.5150;2024/05/28 15:34:06.7579;3;1.00;89.0
   1.6070;2024/05/28 15:34:06.8499;5;1.00;84.0
   1.8530;2024/05/28 15:34:07.0959;5;1.00;84.0
   2.0080;2024/05/28 15:34:07.2509;3;1.00;90.0
   2.0990;2024/05/28 15:34:07.3419;5;1.00;84.0
   2.2530;2024/05/28 15:34:07.4959;3;1.00;90.0
   2.5000;2024/05/28 15:34:07.7429;3;1.00;92.0
   2.5920;2024/05/28 15:34:07.8349;5;1.00;85.0
   2.7460;2024/05/28 15:34:07.9889;3;1.00;92.0
   3.0850;2024/05/28 15:34:08.3279;5;1.00;85.0
   3.2380;2024/05/28 15:34:08.4809;3;1.00;93.0
   3.5770;2024/05/28 15:34:08.8199;5;1.00;85.0
   3.7310;2024/05/28 15:34:08.9739;3;1.00;94.0
   4.0700;2024/05/28 15:34:09.3129;5;1.00;85.0
   4.2240;2024/05/28 15:34:09.4669;3;1.00;94.0
   4.5630;2024/05/28 15:34:09.8059;5;1.00;85.0
   4.7160;2024/05/28 15:34:09.9589;3;1.00;95.0
   4.8080;2024/05/28 15:34:10.0509;5;1.00;85.0
   5.0540;2024/05/28 15:34:10.2969;5;1.00;85.0
   5.2090;2024/05/28 15:34:10.4519;3;1.00;94.0
   5.3010;2024/05/28 15:34:10.5439;5;1.00;85.0
   5.4550;2024/05/28 15:34:10.6979;3;1.00;94.0
   5.7020;2024/05/28 15:34:10.9449;3;1.00;94.0
   5.7930;2024/05/28 15:34:11.0359;5;1.00;85.0
   5.9510;2024/05/28 15:34:11.1939;3;1.00;93.0
   6.2860;2024/05/28 15:34:11.5289;5;1.00;85.0
   6.4400;2024/05/28 15:34:11.6829;3;1.00;93.0
   6.7790;2024/05/28 15:34:12.0219;5;1.00;85.0
   6.9320;2024/05/28 15:34:12.1749;3;1.00;93.0
   7.2710;2024/05/28 15:34:12.5139;5;1.00;85.0
   7.4250;2024/05/28 15:34:12.6679;3;1.00;93.0
   7.7640;2024/05/28 15:34:13.0069;5;1.00;85.0
   7.9180;2024/05/28 15:34:13.1609;3;1.00;92.0
   8.0110;2024/05/28 15:34:13.2539;5;1.00;85.0
   8.2570;2024/05/28 15:34:13.4999;5;1.00;85.0
   8.4100;2024/05/28 15:34:13.6529;3;1.00;93.0
   8.5020;2024/05/28 15:34:13.7449;5;1.00;85.0
   8.6570;2024/05/28 15:34:13.8999;3;1.00;93.0
   8.9030;2024/05/28 15:34:14.1459;3;1.00;94.0
   8.9950;2024/05/28 15:34:14.2379;5;1.00;85.0
   9.1500;2024/05/28 15:34:14.3929;3;1.00;94.0
   9.2410;2024/05/28 15:34:14.4839;5;1.00;85.0
   9.3950;2024/05/28 15:34:14.6379;3;1.00;94.0
   9.4880;2024/05/28 15:34:14.7309;5;1.00;85.0
   9.6410;2024/05/28 15:34:14.8839;3;1.00;94.0
   9.7370;2024/05/28 15:34:14.9799;5;1.00;85.0
   9.8880;2024/05/28 15:34:15.1309;3;1.00;94.0
   9.9800;2024/05/28 15:34:15.2229;5;1.00;85.0
  10.1340;2024/05/28 15:34:15.3769;3;1.00;95.0
  10.2270;2024/05/28 15:34:15.4699;5;1.00;85.0
  10.3800;2024/05/28 15:34:15.6229;3;1.00;95.0
  10.4730;2024/05/28 15:34:15.7159;5;1.00;85.0
  10.6270;2024/05/28 15:34:15.8699;3;1.00;96.0
  10.7190;2024/05/28 15:34:15.9619;5;1.00;85.0
  10.8730;2024/05/28 15:34:16.1159;3;1.00;96.0
  10.9660;2024/05/28 15:34:16.2089;5;1.00;85.0
  11.1190;2024/05/28 15:34:16.3619;3;1.00;96.0
  11.2120;2024/05/28 15:34:16.4549;5;1.00;85.0
  11.3660;2024/05/28 15:34:16.6089;3;1.00;96.0
  11.4580;2024/05/28 15:34:16.7009;5;1.00;85.0
  11.6120;2024/05/28 15:34:16.8549;3;1.00;96.0
  11.7050;2024/05/28 15:34:16.9479;5;1.00;85.0
  11.8580;2024/05/28 15:34:17.1009;3;1.00;96.0
  11.9500;2024/05/28 15:34:17.1929;5;1.00;85.0
  12.1050;2024/05/28 15:34:17.3479;3;1.00;96.0
  12.1960;2024/05/28 15:34:17.4389;5;1.00;85.0
  12.4430;2024/05/28 15:34:17.6859;5;1.00;85.0
  12.5970;2024/05/28 15:34:17.8399;3;1.00;96.0
  12.6890;2024/05/28 15:34:17.9319;5;1.00;85.0
  12.8430;2024/05/28 15:34:18.0859;3;1.00;96.0
  12.9350;2024/05/28 15:34:18.1779;5;1.00;85.0
  13.0890;2024/05/28 15:34:18.3319;3;1.00;96.0
  13.1820;2024/05/28 15:34:18.4249;5;1.00;85.0
  13.3350;2024/05/28 15:34:18.5779;3;1.00;96.0
  13.4280;2024/05/28 15:34:18.6709;5;1.00;85.0
  13.5820;2024/05/28 15:34:18.8249;3;1.00;96.0
  13.6740;2024/05/28 15:34:18.9169;5;1.00;85.0
  13.8280;2024/05/28 15:34:19.0709;3;1.00;96.0
